user_id,event_id,age,gender,location,event_type,registration_date,event_date,previous_events,income,event_rating,distance_km,organizer_score,social_buzz,attended
1,130,30,Male,Pune,Tech,2023-01-01,2023-02-25,5,26004,4.68,47,4.37,65,1
2,101,18,Other,Chennai,Tech,2023-01-01,2023-02-19,5,60123,3.12,26,1.69,92,1
3,110,36,Male,Delhi,Business,2023-01-01,2023-02-07,0,65592,3.72,31,1.52,11,0
4,173,30,Male,Kolkata,Business,2023-01-02,2023-01-21,1,78591,2.57,18,3.92,7,0
5,153,39,Male,Kolkata,Tech,2023-01-02,2023-02-10,6,65774,2.52,45,2.78,67,0
6,126,35,Female,Mumbai,Music,2023-01-02,2023-02-05,6,35058,4.26,4,4.18,58,1
7,124,40,Female,Pune,Art,2023-01-03,2023-02-27,6,49345,2.8,14,2.13,69,0
8,122,30,Other,Chennai,Music,2023-01-03,2023-01-17,1,55503,3.87,50,1.85,99,1
9,142,18,Female,Bangalore,Art,2023-01-03,2023-01-05,5,98715,4.24,25,3.2,11,1
10,171,21,Female,Pune,Tech,2023-01-04,2023-01-12,0,62602,2.58,9,1.46,94,0
11,164,30,Male,Delhi,Music,2023-01-04,2023-01-15,1,70798,3.62,21,2.11,6,1
12,175,29,Other,Mumbai,Art,2023-01-04,2023-02-13,5,78845,4.21,13,1.66,53,1
13,104,40,Male,Chennai,Education,2023-01-05,2023-01-14,6,48979,4.72,27,2.28,84,1
14,156,29,Male,Chennai,Tech,2023-01-05,2023-01-13,7,97156,3.25,12,4.06,68,1
15,177,42,Male,Chennai,Music,2023-01-05,2023-01-29,10,73992,4.94,20,1.48,22,1
16,120,23,Female,Chennai,Music,2023-01-06,2023-02-22,9,87862,4.61,46,3.45,61,1
17,158,28,Female,Delhi,Art,2023-01-06,2023-02-01,4,79937,4.13,5,3.34,91,1
18,100,39,Female,Pune,Sports,2023-01-06,2023-01-23,8,69721,3.48,39,3.15,20,0
19,191,21,Other,Mumbai,Art,2023-01-07,2023-01-24,1,22470,4.28,4,2.94,94,1
20,174,26,Other,Kolkata,Tech,2023-01-07,2023-02-25,9,66691,4.54,23,3.66,65,1
21,162,39,Female,Delhi,Music,2023-01-07,2023-02-02,4,30360,3.26,34,4.41,8,0
22,160,34,Female,Kolkata,Education,2023-01-08,2023-01-30,8,68254,4.98,48,1.65,33,0
23,167,39,Female,Bangalore,Music,2023-01-08,2023-02-23,10,76111,4.77,13,4.26,87,1
24,142,32,Other,Mumbai,Sports,2023-01-08,2023-01-30,7,63614,3.71,3,1.25,34,1
25,197,42,Male,Chennai,Music,2023-01-09,2023-01-31,10,44675,4.31,38,2.93,95,1
26,121,42,Other,Delhi,Art,2023-01-09,2023-02-23,0,24749,3.81,45,3.05,42,0
27,181,45,Male,Kolkata,Education,2023-01-09,2023-01-29,1,73684,4.4,29,1.79,34,0
28,176,21,Other,Chennai,Tech,2023-01-10,2023-02-10,6,75863,4.57,4,1.36,86,1
29,184,34,Male,Delhi,Sports,2023-01-10,2023-02-19,5,58234,2.56,26,1.3,79,0
30,107,21,Female,Kolkata,Business,2023-01-10,2023-01-22,1,77306,2.7,20,1.15,24,0
31,144,24,Other,Kolkata,Tech,2023-01-11,2023-01-19,7,82329,3.34,23,3.29,78,1
32,164,26,Other,Bangalore,Sports,2023-01-11,2023-03-03,0,60998,4.79,3,1.62,25,1
33,162,36,Other,Pune,Art,2023-01-11,2023-01-29,10,23814,3.5,16,4.23,90,1
34,169,30,Other,Delhi,Education,2023-01-12,2023-02-02,1,89631,4.72,50,4.6,0,0
35,164,42,Female,Mumbai,Education,2023-01-12,2023-02-16,4,57338,3.66,3,2.17,66,0
36,122,26,Female,Pune,Business,2023-01-12,2023-01-19,9,73794,3.22,46,1.66,15,0
37,183,35,Male,Mumbai,Tech,2023-01-13,2023-01-16,5,92873,4.75,26,2.64,68,1
38,148,39,Female,Chennai,Education,2023-01-13,2023-02-07,8,49013,3.9,30,4.53,98,1
39,198,45,Male,Bangalore,Sports,2023-01-13,2023-03-12,7,69759,3.4,47,2.6,67,0
40,152,24,Female,Delhi,Sports,2023-01-14,2023-02-17,10,21575,2.61,11,1.43,43,0
41,154,38,Male,Pune,Music,2023-01-14,2023-02-18,5,90803,2.78,50,4.94,83,0
42,159,20,Male,Chennai,Sports,2023-01-14,2023-02-19,10,24732,2.85,14,3.0,19,1
43,187,33,Male,Chennai,Sports,2023-01-15,2023-03-07,5,63289,3.41,18,2.37,54,1
44,191,29,Other,Kolkata,Art,2023-01-15,2023-03-06,9,48143,4.02,23,4.57,97,1
45,159,44,Male,Pune,Sports,2023-01-15,2023-01-17,8,22863,3.27,31,4.71,35,1
46,155,39,Male,Mumbai,Business,2023-01-16,2023-02-17,1,56968,2.66,17,2.99,2,0
47,105,43,Female,Kolkata,Tech,2023-01-16,2023-02-18,7,94847,3.16,40,2.23,44,0
48,106,41,Male,Mumbai,Tech,2023-01-16,2023-01-30,9,33349,3.52,2,2.93,48,1
49,174,29,Female,Chennai,Sports,2023-01-17,2023-03-16,1,43381,4.98,34,1.88,82,1
50,134,38,Female,Chennai,Tech,2023-01-17,2023-02-02,9,35146,3.48,33,2.91,81,1
